NOME;LONGITUDE;LATITUDE;MAIS_SECO
IGUATU;-39,293611;-6,3725;JULHO-AGOSTO-SETEMBRO
MALHADA;-39,961667;-6,646111;AGOSTO-SETEMBRO-OUTUBRO
TAU-;-40,283333;-6,016667;AGOSTO-SETEMBRO-OUTUBRO
ARNEIROZ;-40,158611;-6,326389;AGOSTO-SETEMBRO-OUTUBRO
FAZENDA NOVA;-40,366667;-6,5;AGOSTO-SETEMBRO-OUTUBRO
PARAMBU;-40,7;-6,216667;AGOSTO-SETEMBRO-OUTUBRO
MAURITI;-38,766667;-7,383333;JULHO-AGOSTO-SETEMBRO
BREJO SANTO;-38,983333;-7,491111;JULHO-AGOSTO-SETEMBRO
CUNCAS;-38,716667;-7,083333;AGOSTO-SETEMBRO-OUTUBRO
PODIMIRIM;-38,984722;-7,299722;JULHO-AGOSTO-SETEMBRO
SANTANA DO CARIRI;-39,733333;-7,183333;JULHO-AGOSTO-SETEMBRO
CRATO;-39,4;-7,233333;JULHO-AGOSTO-SETEMBRO
CARIRIAÃU;-39,283333;-7,033333;AGOSTO-SETEMBRO-OUTUBRO
BARBALHA;-39,3;-7,333333;JULHO-AGOSTO-SETEMBRO
JARDIM;-39,283333;-7,583333;AGOSTO-SETEMBRO-OUTUBRO
JATI;-39;-7,683333;AGOSTO-SETEMBRO-OUTUBRO
SALITRE;-40,466667;-7,283333;JULHO-AGOSTO-SETEMBRO
ARARIPE;-40,133333;-7,2;JULHO-AGOSTO-SETEMBRO
CAMPOS SALES;-40,383333;-7,083333;JULHO-AGOSTO-SETEMBRO
NOVA OLINDA DO NORTE;-59,089722;-3,884722;JULHO-AGOSTO-SETEMBRO
BORBA;-59,598333;-4,391389;JULHO-AGOSTO-SETEMBRO
NITERËI (TERRA PRETA II);-59,249444;-4,749722;JUNHO-JULHO-AGOSTO
NOVO ARIPUAN+;-60,383056;-5,121111;JULHO-AGOSTO-SETEMBRO
RECREIO (PEDREIRAS);-60,700556;-5,296389;JUNHO-JULHO-AGOSTO
MONTE ALEGRE;-60,373611;-5,589167;JULHO-AGOSTO-SETEMBRO
MANICOR+;-61,3;-5,816667;JUNHO-JULHO-AGOSTO
SERINGAL JENIPAPO;-60,187778;-6,000278;JUNHO-JULHO-AGOSTO
NATAL (TIGRE);-60,516667;-6,933333;JUNHO-JULHO-AGOSTO
NOVA ESPERANÃA;-61,766667;-6,360556;JUNHO-JULHO-AGOSTO
VILA DO APUI;-59,892222;-7,200833;JUNHO-JULHO-AGOSTO
PRAINHA VELHA;-60,643611;-7,205;JUNHO-JULHO-AGOSTO
BOCA DO GUARIBA;-60,578333;-7,705278;JUNHO-JULHO-AGOSTO
FAZENDA -GUA AZUL;-61,244167;-7,822778;JUNHO-JULHO-AGOSTO
TABAJARA;-62,053889;-8,933333;JUNHO-JULHO-AGOSTO
PORTO VELHO;-63,916667;-8,766667;JUNHO-JULHO-AGOSTO
S-TIO VISTA ALEGRE (STA.MARIA);-63,6475;-8,097778;JUNHO-JULHO-AGOSTO
CONCISA;-60,690556;-9,8;JUNHO-JULHO-AGOSTO
F-BIO (BOLICHE);-61,978889;-9,681389;JUNHO-JULHO-AGOSTO
MINERAÃ+O ORIENTE NOVO;-62,393889;-9,586389;JUNHO-JULHO-AGOSTO
MINERAÃ+O JACUND-;-62,953056;-9,179167;JUNHO-JULHO-AGOSTO
ARIQUEMES;-63,056944;-9,931667;JUNHO-JULHO-AGOSTO
SANTO ANTÈNIO BR-364;-63,161944;-9,260556;JUNHO-JULHO-AGOSTO
FAZENDA RIO BRANCO;-62,987778;-9,887222;JUNHO-JULHO-AGOSTO
SETOR CACHOEIRINHA;-62,988056;-9,887222;JUNHO-JULHO-AGOSTO
PALMEIRAL;-64,812222;-9,516389;JUNHO-JULHO-AGOSTO
ABUN+;-65,364722;-9,703056;JUNHO-JULHO-AGOSTO
NOVA CALIFORNIA;-66,611667;-9,755556;JUNHO-JULHO-AGOSTO
PEDREIRAS;-65,993056;-9,690278;JUNHO-JULHO-AGOSTO
VALE DO NATAL;-58,8675;-10,588056;JUNHO-JULHO-AGOSTO
HUMBOLDT;-59,450833;-10,174722;JUNHO-JULHO-AGOSTO
JIPARAN-;-61,930556;-10,849444;JUNHO-JULHO-AGOSTO
RONDOMINAS (BARROCAS);-62,001389;-10,516944;JUNHO-JULHO-AGOSTO
JARU;-62,465556;-10,445833;JUNHO-JULHO-AGOSTO
SERINGAL 70;-62,627222;-10,236389;JUNHO-JULHO-AGOSTO
MIRANTE DA SERRA;-62,656111;-11,003611;JUNHO-JULHO-AGOSTO
THEOBROMA;-62,345833;-10,236389;JUNHO-JULHO-AGOSTO
ESCOLA CARAMUR+;-63,646111;-10,505;JUNHO-JULHO-AGOSTO
MINERAÃ+O PONTE MASSANGANA;-63,416667;-10,35;JUNHO-JULHO-AGOSTO
GUAJAR--MIRIM;-65,347778;-10,7925;JUNHO-JULHO-AGOSTO
PL-CIDO DE CASTRO;-67,182778;-10,336944;JUNHO-JULHO-AGOSTO
VILA CAPIXABA;-67,676667;-10,575833;JUNHO-JULHO-AGOSTO
BOTECO DOS MINEIROS;-59,325;-11,818611;JUNHO-JULHO-AGOSTO
MARCO RONDON;-60,855;-12,015278;JUNHO-JULHO-AGOSTO
FAZENDA FLOR DO CAMPO;-60,867778;-11,748889;JUNHO-JULHO-AGOSTO
VISTA ALEGRE;-61,483889;-11,440833;JUNHO-JULHO-AGOSTO
PIMENTA BUENO;-61,192222;-11,683611;JUNHO-JULHO-AGOSTO
ROLIM DE MOURA;-61,776389;-11,749722;JUNHO-JULHO-AGOSTO
RIBERALTA 045;-66,083333;-11,016667;JUNHO-JULHO-AGOSTO
PEDRAS NEGRAS;-62,899167;-12,851389;JUNHO-JULHO-AGOSTO
